youth_drop,per_mnrty,hs_drop,col_degree,per_asian,per_white,per_black,shape_leng,shape_area,np_ct,mean_inc,pop1619,dropout,enrollhs,per_prv_sc,per_pub_sc,over3,notenroll,over3enr,pubsch,pub_pk,pub_k8,pub_hs,pub_col,privsch,priv_pk,priv_k8,priv_hs,priv_col,over25,subhs,hs,somecol,college,master,prof,phd,white,black,asian,sub18,gender_par,male,female,school_ct,popdens,population,lat_centroid,lon_centroid,id_centroid
0.0,0.23,0.17,0.51,0.12,0.77,0.04,6358.3866147,2334190.14301,0.0,36759.0,158.0,0.0,158.0,0.47,0.53,7894.0,6722.0,1172.0,624.0,14.0,177.0,165.0,268.0,548.0,7.0,59.0,19.0,463.0,6729.0,1114.0,5615.0,4636.0,3406.0,1257.0,343.0,131.0,6184.0,321.0,944.0,540.0,0.9817,3971.0,4045.0,2,95199.27,8016.0,40.72555342339497,-73.98370854848864,0
0.1219512,0.32,0.16,0.53,0.11,0.68,0.05,5503.25802052,1717138.76647,0.0,37371.0,205.0,25.0,180.0,0.56,0.44,6470.0,5192.0,1278.0,568.0,47.0,271.0,52.0,198.0,710.0,18.0,11.0,104.0,577.0,5130.0,813.0,4317.0,3641.0,2736.0,895.0,211.0,83.0,4490.0,328.0,738.0,589.0,1.1117,3454.0,3107.0,2,107889.4,6561.0,40.729004410088145,-73.98145756830817,1
0.0,0.22,0.06,0.73,0.1,0.78,0.07,5723.88278733,1877943.13247,5.0,52442.0,181.0,0.0,181.0,0.62,0.38,6633.0,5439.0,1194.0,454.0,0.0,69.0,39.0,346.0,740.0,78.0,39.0,37.0,586.0,5508.0,311.0,5197.0,4839.0,4011.0,1628.0,631.0,142.0,5275.0,472.0,642.0,315.0,0.9786,3340.0,3413.0,1,100415.6,6753.0,40.74043721653254,-73.98407900720395,2
0.0584416,0.24,0.11,0.64,0.06,0.76,0.08,5578.76949848,1782278.43243,0.0,55198.0,154.0,9.0,145.0,0.48,0.52,5256.0,4246.0,1010.0,526.0,16.0,128.0,128.0,254.0,484.0,23.0,100.0,53.0,308.0,4524.0,511.0,4013.0,3695.0,2883.0,1149.0,349.0,112.0,4050.0,423.0,305.0,499.0,1.1803,2880.0,2440.0,8,84076.66,5320.0,40.74463815648186,-74.00267843005165,3
0.0,0.48,0.07,0.72,0.38,0.52,0.02,5737.35624626,1887288.44753,13.0,60083.0,0.0,0.0,0.0,1.0,0.0,168.0,160.0,8.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,8.0,168.0,12.0,156.0,149.0,121.0,45.0,6.0,0.0,109.0,4.0,80.0,15.0,1.3596,121.0,89.0,0,3144.861,210.0,40.75637499547066,-73.98088602093334,4
0.0,0.15,0.04,0.74,0.09,0.85,0.02,5534.20005976,1906016.374,0.0,67482.0,35.0,0.0,35.0,0.61,0.39,6968.0,6128.0,840.0,331.0,0.0,69.0,33.0,229.0,509.0,43.0,63.0,16.0,387.0,6232.0,224.0,6008.0,5388.0,4587.0,2090.0,701.0,189.0,6021.0,163.0,630.0,328.0,0.9222,3390.0,3676.0,0,104152.6,7066.0,40.75578800690899,-73.9677747248766,5
0.0,0.14,0.06,0.73,0.1,0.86,0.01,5692.16841652,1860938.33723,1.0,73906.0,12.0,0.0,12.0,0.55,0.45,1784.0,1575.0,209.0,95.0,0.0,0.0,25.0,70.0,114.0,10.0,23.0,0.0,81.0,1529.0,87.0,1442.0,1342.0,1118.0,416.0,202.0,58.0,1562.0,14.0,180.0,102.0,0.8385,831.0,991.0,0,27803.06,1822.0,40.758065666047486,-73.97123160591848,6
0.0,0.42,0.2,0.45,0.09,0.58,0.13,3817.39140002,603922.239375,0.0,32425.0,11.0,0.0,11.0,0.4,0.6,1400.0,1178.0,222.0,133.0,18.0,28.0,35.0,52.0,89.0,0.0,0.0,0.0,89.0,1203.0,238.0,965.0,730.0,541.0,197.0,31.0,2.0,897.0,198.0,140.0,154.0,1.0313,790.0,766.0,0,67195.02,1556.0,40.72125969778034,-73.98114118401958,7
0.4852941,0.94,0.43,0.08,0.01,0.06,0.83,4231.82666015,1117371.68391,0.0,16623.0,68.0,33.0,35.0,0.17,0.83,1854.0,1252.0,602.0,501.0,41.0,257.0,107.0,96.0,101.0,5.0,53.0,6.0,37.0,1104.0,472.0,632.0,355.0,91.0,19.0,0.0,0.0,100.0,1514.0,11.0,559.0,0.829,824.0,994.0,2,45372.71,1818.0,40.80196167256285,-73.94761934577464,8
0.0,0.38,0.03,0.83,0.2,0.62,0.12,3329.88169471,593526.657572,0.0,59479.0,446.0,0.0,446.0,0.89,0.11,2308.0,387.0,1921.0,219.0,0.0,7.0,8.0,204.0,1702.0,27.0,36.0,15.0,1624.0,466.0,13.0,453.0,423.0,385.0,266.0,155.0,104.0,1368.0,265.0,452.0,124.0,1.0027,1109.0,1106.0,0,105177.9,2215.0,40.806435753186015,-73.96020490667443,9
0.025,0.93,0.42,0.21,0.01,0.07,0.74,3745.8710084,897067.944076,1.0,23146.0,240.0,6.0,234.0,0.21,0.79,3514.0,2401.0,1113.0,884.0,47.0,500.0,218.0,119.0,229.0,23.0,54.0,31.0,121.0,2331.0,983.0,1348.0,939.0,491.0,235.0,78.0,36.0,266.0,2662.0,21.0,987.0,0.9396,1741.0,1853.0,0,109129.5,3594.0,40.80505127317314,-73.95663296030257,10
0.0,0.28,0.03,0.86,0.15,0.72,0.08,5562.17342481,1335915.43785,16.0,73750.0,868.0,0.0,868.0,0.95,0.05,5122.0,2178.0,2944.0,140.0,5.0,44.0,28.0,63.0,2804.0,29.0,164.0,20.0,2591.0,2378.0,67.0,2311.0,2232.0,2054.0,1419.0,690.0,535.0,3659.0,411.0,757.0,390.0,0.5815,1880.0,3233.0,0,105905.3,5113.0,40.80964083977257,-73.96400039403892,11
0.1447368,0.93,0.3,0.22,0.0,0.07,0.83,5176.87315098,1602693.82096,0.0,25714.0,152.0,22.0,130.0,0.22,0.78,2328.0,1666.0,662.0,516.0,51.0,201.0,177.0,87.0,146.0,0.0,57.0,0.0,89.0,1583.0,471.0,1112.0,721.0,342.0,125.0,24.0,10.0,159.0,1919.0,8.0,542.0,0.9965,1153.0,1157.0,5,40683.76,2310.0,40.808291308953066,-73.93878341491747,12
